trimestre,manufacturera,fecha
2008T1,7.2,2008-03-31
,7.2,2008-04-30
,7.2,2008-05-31
2008T2,7.3,2008-06-30
,7.3,2008-07-31
,7.3,2008-08-31
2008T3,7.7,2008-09-30
,7.7,2008-10-31
,7.7,2008-11-30
2008T4,8.5,2008-12-31
,8.5,2009-01-31
,8.5,2009-02-28
2009T1,8.9,2009-03-31
,8.9,2009-04-30
,8.9,2009-05-31
2009T2,8.9,2009-06-30
,8.9,2009-07-31
,8.9,2009-08-31
2009T3,8.3,2009-09-30
,8.3,2009-10-31
,8.3,2009-11-30
2009T4,7.3,2009-12-31
,7.3,2010-01-31
,7.3,2010-02-28
2010T1,6.2,2010-03-31
,6.2,2010-04-30
,6.2,2010-05-31
2010T2,5.4,2010-06-30
,5.4,2010-07-31
,5.4,2010-08-31
2010T3,5.1,2010-09-30
,5.1,2010-10-31
,5.1,2010-11-30
2010T4,4.6,2010-12-31
,4.6,2011-01-31
,4.6,2011-02-28
2011T1,4.8,2011-03-31
,4.8,2011-04-30
,4.8,2011-05-31
2011T2,4.7,2011-06-30
,4.7,2011-07-31
,4.7,2011-08-31
2011T3,4.1,2011-09-30
,4.1,2011-10-31
,4.1,2011-11-30
2011T4,4.3,2011-12-31
,4.3,2012-01-31
,4.3,2012-02-29
2012T1,4.9,2012-03-31
,4.9,2012-04-30
,4.9,2012-05-31
2012T2,5.3,2012-06-30
,5.3,2012-07-31
,5.3,2012-08-31
2012T3,5.0,2012-09-30
,5.0,2012-10-31
,5.0,2012-11-30
2012T4,4.6,2012-12-31
,4.6,2013-01-31
,4.6,2013-02-28
2013T1,4.8,2013-03-31
,4.8,2013-04-30
,4.8,2013-05-31
2013T2,4.3,2013-06-30
,4.3,2013-07-31
,4.3,2013-08-31
2013T3,3.9,2013-09-30
,3.9,2013-10-31
,3.9,2013-11-30
2013T4,3.8,2013-12-31
,3.8,2014-01-31
,3.8,2014-02-28
2014T1,3.8,2014-03-31
,3.8,2014-04-30
,3.8,2014-05-31
2014T2,3.5,2014-06-30
,3.5,2014-07-31
,3.5,2014-08-31
2014T3,3.3,2014-09-30
,3.3,2014-10-31
,3.3,2014-11-30
2014T4,3.5,2014-12-31
,3.5,2015-01-31
,3.5,2015-02-28
2015T1,3.5,2015-03-31
,3.5,2015-04-30
,3.5,2015-05-31
2015T2,3.1,2015-06-30
,3.1,2015-07-31
,3.1,2015-08-31
2015T3,3.3,2015-09-30
,3.3,2015-10-31
,3.3,2015-11-30
2015T4,3.3,2015-12-31
,3.3,2016-01-31
,3.3,2016-02-29
2016T1,3.5,2016-03-31
,3.5,2016-04-30
,3.5,2016-05-31
2016T2,3.6,2016-06-30
,3.6,2016-07-31
,3.6,2016-08-31
2016T3,3.5,2016-09-30
,3.5,2016-10-31
,3.5,2016-11-30
2016T4,3.7,2016-12-31
